T	From state	To state	A_time	I	Time since last transition	E	E-1
3.2	2.0	3.0	3.2	1.0	3.2	0.76	0.51
3.95	3.0	2.0	3.95	1.0	0.75	0.51	0.76
4.85	2.0	3.0	4.85	1.0	0.9	0.76	0.51
5.95	3.0	2.0	5.95	1.0	1.1	0.51	0.76
7.25	2.0	3.0	7.25	1.0	1.3	0.76	0.51
7.9	3.0	2.0	7.9	1.0	0.65	0.51	0.76
8.85	2.0	3.0	8.85	1.0	0.95	0.76	0.51
9.75	3.0	2.0	9.75	1.0	0.9	0.51	0.76
10.05	2.0	3.0	10.05	1.0	0.3	0.76	0.51
11.35	3.0	2.0	11.35	1.0	1.3	0.51	0.76
13.65	2.0	3.0	13.65	1.0	2.3	0.76	0.51
14.2	3.0	2.0	14.2	1.0	0.55	0.51	0.76
16.05	2.0	3.0	16.05	1.0	1.85	0.76	0.51
16.8	3.0	2.0	16.8	1.0	0.75	0.51	0.76
17.4	2.0	3.0	17.4	1.0	0.6	0.76	0.51
17.6	3.0	2.0	17.6	1.0	0.2	0.51	0.76
19.05	2.0	3.0	19.05	1.0	1.45	0.76	0.51
19.35	3.0	2.0	19.35	1.0	0.3	0.51	0.76
19.6	2.0	3.0	19.6	1.0	0.25	0.76	0.51
20.75	3.0	2.0	20.75	1.0	1.15	0.51	0.76
21.2	2.0	3.0	21.2	1.0	0.45	0.76	0.51
21.8	3.0	2.0	21.8	1.0	0.6	0.51	0.76
22.8	2.0	3.0	22.8	1.0	1.0	0.76	0.51
24.5	3.0	2.0	24.5	1.0	1.7	0.51	0.76
25.25	2.0	1.0	25.25	1.0	0.75	0.06	0.51
25.85	1.0	2.0	25.85	1.0	0.6	0.51	0.06
25.95	2.0	1.0	25.95	1.0	0.1	0.06	0.51
28.15	1.0	2.0	28.15	1.0	2.2	0.51	0.06
28.55	2.0	3.0	0.05	2.0	0.05	0.76	0.51
32.6	3.0	2.0	4.1	2.0	4.05	0.51	0.76
33.15	2.0	1.0	4.65	2.0	0.55	0.06	0.51
33.5	1.0	2.0	5.0	2.0	0.35	0.51	0.06
33.75	2.0	1.0	5.25	2.0	0.25	0.06	0.51
38.65	1.0	2.0	10.15	2.0	4.9	0.51	0.06
38.75	2.0	1.0	10.25	2.0	0.1	0.06	0.51
39.5	1.0	2.0	11.0	2.0	0.75	0.51	0.06
39.75	2.0	1.0	11.25	2.0	0.25	0.06	0.51
40.2	1.0	3.0	0.0	3.0	0.0	0.76	0.06
41.5	3.0	1.0	1.3	3.0	1.3	0.06	0.76
42.0	1.0	3.0	0.0	4.0	0.0	0.76	0.06
42.7	3.0	2.0	0.7	4.0	0.7	0.51	0.76
42.95	2.0	3.0	0.95	4.0	0.25	0.76	0.51
47.75	3.0	2.0	5.75	4.0	4.8	0.51	0.76
48.0	2.0	3.0	6.0	4.0	0.25	0.76	0.51
50.0	3.0	2.0	8.0	4.0	2.0	0.51	0.76
51.65	2.0	3.0	9.65	4.0	1.65	0.76	0.51
52.0	3.0	1.0	10.0	4.0	0.35	0.06	0.76
52.7	1.0	2.0	0.0	5.0	0.0	0.51	0.06
53.4	2.0	1.0	0.7	5.0	0.7	0.06	0.51
56.9	1.0	3.0	0.0	6.0	0.0	0.76	0.06
57.65	3.0	2.0	0.75	6.0	0.75	0.51	0.76
57.75	2.0	1.0	0.85	6.0	0.1	0.06	0.51
60.3	1.0	2.0	1.35	7.0	1.35	0.51	0.06
60.95	2.0	3.0	0.0	8.0	0.0	0.76	0.51
79.95	3.0	2.0	0.2	9.0	0.2	0.51	0.76
80.95	2.0	3.0	1.2	9.0	1.0	0.76	0.51
90.5	3.0	2.0	10.75	9.0	9.55	0.51	0.76
91.15	2.0	1.0	11.4	9.0	0.65	0.06	0.51
91.4	1.0	2.0	11.65	9.0	0.25	0.51	0.06
91.75	2.0	3.0	0.1	10.0	0.1	0.76	0.51
92.3	3.0	1.0	0.65	10.0	0.55	0.06	0.76
92.4	1.0	2.0	0.75	10.0	0.1	0.51	0.06
92.5	2.0	3.0	0.85	10.0	0.1	0.76	0.51
96.75	3.0	2.0	5.1	10.0	4.25	0.51	0.76
97.15	2.0	3.0	5.5	10.0	0.4	0.76	0.51
98.0	3.0	2.0	6.35	10.0	0.85	0.51	0.76
98.35	2.0	3.0	0.0	11.0	0.0	0.76	0.51
100.3	3.0	2.0	1.95	11.0	1.95	0.51	0.76
100.85	2.0	1.0	2.5	11.0	0.55	0.06	0.51
105.9	1.0	2.0	0.0	12.0	0.0	0.51	0.06
112.75	2.0	3.0	6.85	12.0	6.85	0.76	0.51
113.0	3.0	1.0	7.1	12.0	0.25	0.06	0.76
114.85	1.0	2.0	8.95	12.0	1.85	0.51	0.06
114.9	2.0	1.0	9.0	12.0	0.05	0.06	0.51
117.65	1.0	2.0	11.75	12.0	2.75	0.51	0.06
117.7	2.0	1.0	11.8	12.0	0.05	0.06	0.51
118.0	1.0	2.0	12.1	12.0	0.3	0.51	0.06
118.25	2.0	1.0	0.2	13.0	0.2	0.06	0.51
119.85	1.0	2.0	1.8	13.0	1.6	0.51	0.06
119.9	2.0	1.0	1.85	13.0	0.05	0.06	0.51
127.95	1.0	3.0	6.0	14.0	6.0	0.76	0.06
128.65	3.0	2.0	6.7	14.0	0.7	0.51	0.76
129.0	2.0	3.0	7.05	14.0	0.35	0.76	0.51
130.35	3.0	1.0	0.75	15.0	0.75	0.06	0.76
131.85	1.0	2.0	0.0	16.0	0.0	0.51	0.06
132.9	2.0	3.0	1.05	16.0	1.05	0.76	0.51
133.65	3.0	2.0	1.8	16.0	0.75	0.51	0.76
134.65	2.0	3.0	2.8	16.0	1.0	0.76	0.51
135.4	3.0	2.0	3.55	16.0	0.75	0.51	0.76
137.5	2.0	3.0	5.65	16.0	2.1	0.76	0.51
139.75	3.0	2.0	7.9	16.0	2.25	0.51	0.76
141.2	2.0	3.0	9.35	16.0	1.45	0.76	0.51
142.0	3.0	2.0	10.15	16.0	0.8	0.51	0.76
142.75	2.0	3.0	10.9	16.0	0.75	0.76	0.51
147.4	3.0	2.0	15.55	16.0	4.65	0.51	0.76
147.85	2.0	3.0	16.0	16.0	0.45	0.76	0.51
150.3	3.0	2.0	18.45	16.0	2.45	0.51	0.76
150.45	2.0	1.0	18.6	16.0	0.15	0.06	0.51
152.4	1.0	2.0	20.55	16.0	1.95	0.51	0.06
152.5	2.0	1.0	20.65	16.0	0.1	0.06	0.51
153.1	1.0	2.0	21.25	16.0	0.6	0.51	0.06
153.65	2.0	1.0	21.8	16.0	0.55	0.06	0.51
155.2	1.0	2.0	23.35	16.0	1.55	0.51	0.06
155.35	2.0	1.0	23.5	16.0	0.15	0.06	0.51
160.5	1.0	3.0	0.0	17.0	0.0	0.76	0.06
160.8	3.0	2.0	0.3	17.0	0.3	0.51	0.76
161.15	2.0	1.0	0.65	17.0	0.35	0.06	0.51
162.85	1.0	3.0	0.0	18.0	0.0	0.76	0.06
169.95	3.0	1.0	7.1	18.0	7.1	0.06	0.76
171.4	1.0	3.0	0.0	19.0	0.0	0.76	0.06
174.1	3.0	1.0	2.7	19.0	2.7	0.06	0.76
175.8	1.0	3.0	0.0	20.0	0.0	0.76	0.06
178.25	3.0	2.0	2.45	20.0	2.45	0.51	0.76
179.05	2.0	1.0	3.25	20.0	0.8	0.06	0.51
179.4	1.0	2.0	3.6	20.0	0.35	0.51	0.06
180.5	2.0	1.0	4.7	20.0	1.1	0.06	0.51
181.05	1.0	3.0	0.0	21.0	0.0	0.76	0.06
181.95	3.0	2.0	0.9	21.0	0.9	0.51	0.76
182.0	2.0	1.0	0.95	21.0	0.05	0.06	0.51
183.15	1.0	2.0	0.0	22.0	0.0	0.51	0.06
184.65	2.0	1.0	1.5	22.0	1.5	0.06	0.51
187.7	1.0	3.0	0.0	23.0	0.0	0.76	0.06
188.1	3.0	2.0	0.4	23.0	0.4	0.51	0.76
190.65	2.0	1.0	2.95	23.0	2.55	0.06	0.51
191.0	1.0	2.0	3.3	23.0	0.35	0.51	0.06
191.1	2.0	1.0	3.4	23.0	0.1	0.06	0.51
191.4	1.0	2.0	3.7	23.0	0.3	0.51	0.06
191.95	2.0	1.0	4.25	23.0	0.55	0.06	0.51
192.45	1.0	2.0	4.75	23.0	0.5	0.51	0.06
192.65	2.0	1.0	4.95	23.0	0.2	0.06	0.51
193.05	1.0	2.0	5.35	23.0	0.4	0.51	0.06
193.55	2.0	1.0	5.85	23.0	0.5	0.06	0.51
193.7	1.0	2.0	6.0	23.0	0.15	0.51	0.06
193.75	2.0	1.0	6.05	23.0	0.05	0.06	0.51
194.1	1.0	2.0	6.4	23.0	0.35	0.51	0.06
194.15	2.0	1.0	6.45	23.0	0.05	0.06	0.51
194.5	1.0	3.0	6.8	23.0	0.35	0.76	0.06
196.1	3.0	2.0	8.4	23.0	1.6	0.51	0.76
197.6	2.0	1.0	9.9	23.0	1.5	0.06	0.51
