T From_state To_state A_time I Time_since_last_transition E E-1
3.20 2.0 3.0 3.20 1.0 3.20 0.76 0.51
3.95 3.0 2.0 3.95 1.0 0.75 0.51 0.76
4.85 2.0 3.0 4.85 1.0 0.90 0.76 0.51
5.95 3.0 2.0 5.95 1.0 1.10 0.51 0.76
7.25 2.0 3.0 7.25 1.0 1.30 0.76 0.51
7.90 3.0 2.0 7.90 1.0 0.65 0.51 0.76
8.85 2.0 3.0 8.85 1.0 0.95 0.76 0.51
9.75 3.0 2.0 9.75 1.0 0.90 0.51 0.76
10.05 2.0 3.0 10.05 1.0 0.30 0.76 0.51
11.35 3.0 2.0 11.35 1.0 1.30 0.51 0.76
13.65 2.0 3.0 13.65 1.0 2.30 0.76 0.51
14.20 3.0 2.0 14.20 1.0 0.55 0.51 0.76
16.05 2.0 3.0 16.05 1.0 1.85 0.76 0.51
16.80 3.0 2.0 16.80 1.0 0.75 0.51 0.76
17.40 2.0 3.0 17.40 1.0 0.60 0.76 0.51
17.60 3.0 2.0 17.60 1.0 0.20 0.51 0.76
19.05 2.0 3.0 19.05 1.0 1.45 0.76 0.51
19.35 3.0 2.0 19.35 1.0 0.30 0.51 0.76
19.60 2.0 3.0 19.60 1.0 0.25 0.76 0.51
20.75 3.0 2.0 20.75 1.0 1.15 0.51 0.76
21.20 2.0 3.0 21.20 1.0 0.45 0.76 0.51
21.80 3.0 2.0 21.80 1.0 0.60 0.51 0.76
22.80 2.0 3.0 22.80 1.0 1.00 0.76 0.51
24.50 3.0 2.0 24.50 1.0 1.70 0.51 0.76
25.25 2.0 1.0 25.25 1.0 0.75 0.06 0.51
25.85 1.0 2.0 25.85 1.0 0.60 0.51 0.06
25.95 2.0 1.0 25.95 1.0 0.10 0.06 0.51
28.15 1.0 2.0 28.15 1.0 2.20 0.51 0.06
28.55 2.0 3.0 0.05 2.0 0.05 0.76 0.51
32.60 3.0 2.0 4.10 2.0 4.05 0.51 0.76
33.15 2.0 1.0 4.65 2.0 0.55 0.06 0.51
33.50 1.0 2.0 5.00 2.0 0.35 0.51 0.06
33.75 2.0 1.0 5.25 2.0 0.25 0.06 0.51
38.65 1.0 2.0 10.15 2.0 4.90 0.51 0.06
38.75 2.0 1.0 10.25 2.0 0.10 0.06 0.51
39.50 1.0 2.0 11.00 2.0 0.75 0.51 0.06
39.75 2.0 1.0 11.25 2.0 0.25 0.06 0.51
41.50 3.0 1.0 1.30 3.0 1.30 0.06 0.76
42.70 3.0 2.0 0.70 4.0 0.70 0.51 0.76
42.95 2.0 3.0 0.95 4.0 0.25 0.76 0.51
47.75 3.0 2.0 5.75 4.0 4.80 0.51 0.76
48.00 2.0 3.0 6.00 4.0 0.25 0.76 0.51
50.00 3.0 2.0 8.00 4.0 2.00 0.51 0.76
51.65 2.0 3.0 9.65 4.0 1.65 0.76 0.51
52.00 3.0 1.0 10.00 4.0 0.35 0.06 0.76
53.40 2.0 1.0 0.70 5.0 0.70 0.06 0.51
57.65 3.0 2.0 0.75 6.0 0.75 0.51 0.76
57.75 2.0 1.0 0.85 6.0 0.10 0.06 0.51
60.30 1.0 2.0 1.35 7.0 1.35 0.51 0.06
79.95 3.0 2.0 0.20 9.0 0.20 0.51 0.76
80.95 2.0 3.0 1.20 9.0 1.00 0.76 0.51
90.50 3.0 2.0 10.75 9.0 9.55 0.51 0.76
91.15 2.0 1.0 11.40 9.0 0.65 0.06 0.51
91.40 1.0 2.0 11.65 9.0 0.25 0.51 0.06
91.75 2.0 3.0 0.10 10.0 0.10 0.76 0.51
92.30 3.0 1.0 0.65 10.0 0.55 0.06 0.76
92.40 1.0 2.0 0.75 10.0 0.10 0.51 0.06
92.50 2.0 3.0 0.85 10.0 0.10 0.76 0.51
96.75 3.0 2.0 5.10 10.0 4.25 0.51 0.76
97.15 2.0 3.0 5.50 10.0 0.40 0.76 0.51
98.00 3.0 2.0 6.35 10.0 0.85 0.51 0.76
100.30 3.0 2.0 1.95 11.0 1.95 0.51 0.76
100.85 2.0 1.0 2.50 11.0 0.55 0.06 0.51
112.75 2.0 3.0 6.85 12.0 6.85 0.76 0.51
113.00 3.0 1.0 7.10 12.0 0.25 0.06 0.76
114.85 1.0 2.0 8.95 12.0 1.85 0.51 0.06
114.90 2.0 1.0 9.00 12.0 0.05 0.06 0.51
117.65 1.0 2.0 11.75 12.0 2.75 0.51 0.06
117.70 2.0 1.0 11.80 12.0 0.05 0.06 0.51
118.00 1.0 2.0 12.10 12.0 0.30 0.51 0.06
118.25 2.0 1.0 0.20 13.0 0.20 0.06 0.51
119.85 1.0 2.0 1.80 13.0 1.60 0.51 0.06
119.90 2.0 1.0 1.85 13.0 0.05 0.06 0.51
127.95 1.0 3.0 6.00 14.0 6.00 0.76 0.06
128.65 3.0 2.0 6.70 14.0 0.70 0.51 0.76
129.00 2.0 3.0 7.05 14.0 0.35 0.76 0.51
130.35 3.0 1.0 0.75 15.0 0.75 0.06 0.76
132.90 2.0 3.0 1.05 16.0 1.05 0.76 0.51
133.65 3.0 2.0 1.80 16.0 0.75 0.51 0.76
134.65 2.0 3.0 2.80 16.0 1.00 0.76 0.51
135.40 3.0 2.0 3.55 16.0 0.75 0.51 0.76
137.50 2.0 3.0 5.65 16.0 2.10 0.76 0.51
139.75 3.0 2.0 7.90 16.0 2.25 0.51 0.76
141.20 2.0 3.0 9.35 16.0 1.45 0.76 0.51
142.00 3.0 2.0 10.15 16.0 0.80 0.51 0.76
142.75 2.0 3.0 10.90 16.0 0.75 0.76 0.51
147.40 3.0 2.0 15.55 16.0 4.65 0.51 0.76
147.85 2.0 3.0 16.00 16.0 0.45 0.76 0.51
150.30 3.0 2.0 18.45 16.0 2.45 0.51 0.76
150.45 2.0 1.0 18.60 16.0 0.15 0.06 0.51
152.40 1.0 2.0 20.55 16.0 1.95 0.51 0.06
152.50 2.0 1.0 20.65 16.0 0.10 0.06 0.51
153.10 1.0 2.0 21.25 16.0 0.60 0.51 0.06
153.65 2.0 1.0 21.80 16.0 0.55 0.06 0.51
155.20 1.0 2.0 23.35 16.0 1.55 0.51 0.06
155.35 2.0 1.0 23.50 16.0 0.15 0.06 0.51
160.80 3.0 2.0 0.30 17.0 0.30 0.51 0.76
161.15 2.0 1.0 0.65 17.0 0.35 0.06 0.51
169.95 3.0 1.0 7.10 18.0 7.10 0.06 0.76
174.10 3.0 1.0 2.70 19.0 2.70 0.06 0.76
178.25 3.0 2.0 2.45 20.0 2.45 0.51 0.76
179.05 2.0 1.0 3.25 20.0 0.80 0.06 0.51
179.40 1.0 2.0 3.60 20.0 0.35 0.51 0.06
180.50 2.0 1.0 4.70 20.0 1.10 0.06 0.51
181.95 3.0 2.0 0.90 21.0 0.90 0.51 0.76
182.00 2.0 1.0 0.95 21.0 0.05 0.06 0.51
184.65 2.0 1.0 1.50 22.0 1.50 0.06 0.51
188.10 3.0 2.0 0.40 23.0 0.40 0.51 0.76
190.65 2.0 1.0 2.95 23.0 2.55 0.06 0.51
191.00 1.0 2.0 3.30 23.0 0.35 0.51 0.06
191.10 2.0 1.0 3.40 23.0 0.10 0.06 0.51
191.40 1.0 2.0 3.70 23.0 0.30 0.51 0.06
191.95 2.0 1.0 4.25 23.0 0.55 0.06 0.51
192.45 1.0 2.0 4.75 23.0 0.50 0.51 0.06
192.65 2.0 1.0 4.95 23.0 0.20 0.06 0.51
193.05 1.0 2.0 5.35 23.0 0.40 0.51 0.06
193.55 2.0 1.0 5.85 23.0 0.50 0.06 0.51
193.70 1.0 2.0 6.00 23.0 0.15 0.51 0.06
193.75 2.0 1.0 6.05 23.0 0.05 0.06 0.51
194.10 1.0 2.0 6.40 23.0 0.35 0.51 0.06
194.15 2.0 1.0 6.45 23.0 0.05 0.06 0.51
194.50 1.0 3.0 6.80 23.0 0.35 0.76 0.06
196.10 3.0 2.0 8.40 23.0 1.60 0.51 0.76
