From_State To_State FRET_after_transition FRET_before_transition
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 2 0.51 0.06
1 3 0.76 0.06
1 3 0.76 0.06
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 1 0.06 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
2 3 0.76 0.51
3 1 0.06 0.76
3 1 0.06 0.76
3 1 0.06 0.76
3 1 0.06 0.76
3 1 0.06 0.76
3 1 0.06 0.76
3 1 0.06 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
3 2 0.51 0.76
