E T I
0.12 1 1
0.38 2 1
0.37 3 1
0.36 4 1
0.40 5 1
0.58 6 1
0.45 7 1
0.37 8 1
0.68 9 1
0.68 10 1
0.28 11 1
0.52 12 1
0.55 13 1
0.34 14 1
0.44 15 1
0.75 16 1
0.60 17 1
0.59 18 1
0.59 19 1
0.48 20 1
0.87 21 1
0.52 22 1
0.52 23 1
0.56 24 1
0.69 25 1
0.40 26 1
0.68 27 1
0.51 28 1
0.44 29 1
0.50 30 1
0.59 31 1
1.06 32 1
0.47 33 1
0.77 34 1
0.74 35 1
0.52 36 1
0.45 37 1
3.35 38 1
0.35 39 1
0.60 40 1
0.49 41 1
0.84 42 1
1.89 43 1
1.09 44 1
0.20 45 1
0.54 46 1
0.37 47 1
0.46 48 1
0.23 49 1
0.49 50 1
0.60 51 1
0.64 52 1
0.78 53 1
0.90 54 1
0.58 55 1
1.77 56 1
0.72 57 1
0.76 58 1
0.72 59 1
0.56 60 1
0.34 61 1
0.18 62 1
0.56 63 1
0.58 64 1
0.59 65 1
0.56 66 1
0.66 67 1
0.75 68 1
0.78 69 1
0.74 70 1
0.49 71 1
0.86 72 1
0.85 73 1
0.94 74 1
0.74 75 1
0.82 76 1
0.66 77 1
0.61 78 1
0.60 79 1
0.82 80 1
1.31 81 1
0.65 82 1
0.49 83 1
0.55 84 1
0.45 85 1
0.41 86 1
0.32 87 1
0.49 88 1
0.70 89 1
0.54 90 1
0.41 91 1
0.40 92 1
0.84 93 1
0.44 94 1
0.56 95 1
0.44 96 1
0.83 97 1
0.45 98 1
0.34 99 1
0.21 100 1
0.64 101 1
0.99 102 1
0.84 103 1
0.80 104 1
0.49 105 1
1.06 106 1
0.66 107 1
0.92 108 1
0.49 109 1
0.43 110 1
0.56 111 1
0.53 112 1
1.40 113 1
0.51 114 1
1.08 115 1
0.51 116 1
0.71 117 1
0.89 118 1
0.42 119 1
0.83 120 1
0.83 121 1
0.80 122 1
0.71 123 1
0.38 124 1
0.56 125 1
0.35 126 1
0.71 127 1
0.53 128 1
0.75 129 1
1.57 130 1
0.85 131 1
0.57 132 1
1.50 133 1
0.87 134 1
0.31 135 1
0.54 136 1
0.70 137 1
0.88 138 1
0.81 139 1
0.77 140 1
0.56 141 1
0.68 142 1
0.38 143 1
0.62 144 1
0.19 145 1
0.90 146 1
0.46 147 1
0.38 148 1
1.53 149 1
1.30 150 1
0.39 151 1
0.49 152 1
0.42 153 1
0.75 154 1
0.74 155 1
1.04 156 1
0.99 157 1
1.05 158 1
0.72 159 1
0.41 160 1
0.84 161 1
0.89 162 1
0.56 163 1
1.25 164 1
0.85 165 1
0.60 166 1
0.66 167 1
0.49 168 1
0.44 169 1
0.53 170 1
0.71 171 1
0.41 172 1
0.40 173 1
0.52 174 1
0.48 175 1
0.48 176 1
0.81 177 1
0.47 178 1
0.75 179 1
0.69 180 1
1.94 181 1
0.33 182 1
1.21 183 1
1.34 184 1
0.64 185 1
0.51 186 1
0.57 187 1
0.08 188 1
0.33 189 1
0.83 190 1
0.55 191 1
0.76 192 1
0.69 193 1
0.62 194 1
0.75 195 1
0.85 196 1
4.11 197 1
0.70 198 1
0.90 199 1
0.55 200 1
0.64 201 1
0.72 202 1
0.60 203 1
0.78 204 1
2.47 205 1
0.66 206 1
0.72 207 1
0.95 208 1
1.37 209 1
1.23 210 1
0.71 211 1
0.49 212 1
0.54 213 1
0.18 214 1
0.76 215 1
0.74 216 1
0.33 217 1
0.73 218 1
0.56 219 1
0.64 220 1
0.71 221 1
0.53 222 1
0.56 223 1
1.03 224 1
0.72 225 1
0.60 226 1
0.49 227 1
0.76 228 1
0.63 229 1
1.07 230 1
0.69 231 1
0.24 232 1
0.72 233 1
0.68 234 1
0.55 235 1
0.45 236 1
0.51 237 1
0.93 238 1
0.92 239 1
0.70 240 1
1.28 241 1
0.51 242 1
0.87 243 1
0.81 244 1
0.24 245 1
0.59 246 1
0.46 247 1
0.59 248 1
0.64 249 1
0.61 250 1
0.78 251 1
0.86 252 1
0.48 253 1
0.82 254 1
1.01 255 1
0.54 256 1
0.25 257 1
0.81 258 1
0.56 259 1
0.78 260 1
1.46 261 1
0.39 262 1
0.71 263 1
0.54 264 1
0.86 265 1
0.28 266 1
0.59 267 1
0.58 268 1
0.80 269 1
0.86 270 1
0.71 271 1
0.74 272 1
0.75 273 1
0.63 274 1
0.50 275 1
0.48 276 1
0.68 277 1
0.48 278 1
0.24 279 1
1.02 280 1
0.58 281 1
0.66 282 1
0.75 283 1
0.81 284 1
0.53 285 1
0.56 286 1
0.65 287 1
0.33 288 1
0.41 289 1
0.49 290 1
0.57 291 1
0.68 292 1
0.62 293 1
0.97 294 1
0.77 295 1
0.96 296 1
0.63 297 1
0.89 298 1
0.63 299 1
0.65 300 1
0.75 301 1
0.76 302 1
0.28 303 1
0.45 304 1
0.43 305 1
0.21 306 1
0.30 307 1
0.70 308 1
0.64 309 1
0.51 310 1
1.14 311 1
0.54 312 1
1.06 313 1
0.73 314 1
0.71 315 1
0.48 316 1
0.77 317 1
