E T I
0.12 1 1
0.38 2 1
0.37 3 1
0.36 4 1
0.40 5 1
0.58 6 1
0.45 7 1
0.37 8 1
0.68 9 1
0.68 10 1
0.28 11 1
0.52 12 1
0.55 13 1
0.34 14 1
0.44 15 1
0.75 16 1
0.60 17 1
0.59 18 1
0.59 19 1
0.48 20 1
0.87 21 1
0.52 22 1
0.52 23 1
0.56 24 1
0.69 25 1
0.40 26 1
0.68 27 1
0.51 28 1
0.44 29 1
0.50 30 1
0.59 31 1
1.06 32 1
0.47 33 1
0.77 34 1
0.74 35 1
0.52 36 1
0.45 37 1
0.35 38 1
0.60 39 1
0.49 40 1
0.84 41 1
1.09 42 1
0.20 43 1
0.54 44 1
0.37 45 1
0.46 46 1
0.23 47 1
0.49 48 1
0.60 49 1
0.64 50 1
0.78 51 1
0.90 52 1
0.58 53 1
0.72 54 1
0.76 55 1
0.72 56 1
0.56 57 1
0.34 58 1
0.18 59 1
0.56 60 1
0.58 61 1
0.59 62 1
0.56 63 1
0.66 64 1
0.75 65 1
0.78 66 1
0.74 67 1
0.49 68 1
0.86 69 1
0.85 70 1
0.94 71 1
0.74 72 1
0.82 73 1
0.66 74 1
0.61 75 1
0.60 76 1
0.82 77 1
0.65 78 1
0.49 79 1
0.55 80 1
0.45 81 1
0.41 82 1
0.32 83 1
0.49 84 1
0.70 85 1
0.54 86 1
0.41 87 1
0.40 88 1
0.84 89 1
0.44 90 1
0.56 91 1
0.44 92 1
0.83 93 1
0.45 94 1
0.34 95 1
0.21 96 1
0.64 97 1
0.99 98 1
0.84 99 1
0.80 100 1
0.49 101 1
1.06 102 1
0.66 103 1
0.92 104 1
0.49 105 1
0.43 106 1
0.56 107 1
0.53 108 1
0.51 109 1
1.08 110 1
0.51 111 1
0.71 112 1
0.89 113 1
0.42 114 1
0.83 115 1
0.83 116 1
0.80 117 1
0.71 118 1
0.38 119 1
0.56 120 1
0.35 121 1
0.71 122 1
0.53 123 1
0.75 124 1
0.85 125 1
0.57 126 1
0.87 127 1
0.31 128 1
0.54 129 1
0.70 130 1
0.88 131 1
0.81 132 1
0.77 133 1
0.56 134 1
0.68 135 1
0.38 136 1
0.62 137 1
0.19 138 1
0.90 139 1
0.46 140 1
0.38 141 1
0.39 142 1
0.49 143 1
0.42 144 1
0.75 145 1
0.74 146 1
1.04 147 1
0.99 148 1
1.05 149 1
0.72 150 1
0.41 151 1
0.84 152 1
0.89 153 1
0.56 154 1
0.85 155 1
0.60 156 1
0.66 157 1
0.49 158 1
0.44 159 1
0.53 160 1
0.71 161 1
0.41 162 1
0.40 163 1
0.52 164 1
0.48 165 1
0.48 166 1
0.81 167 1
0.47 168 1
0.75 169 1
0.69 170 1
0.33 171 1
0.64 172 1
0.51 173 1
0.57 174 1
0.08 175 1
0.33 176 1
0.83 177 1
0.55 178 1
0.76 179 1
0.69 180 1
0.62 181 1
0.75 182 1
0.85 183 1
0.70 184 1
0.90 185 1
0.55 186 1
0.64 187 1
0.72 188 1
0.60 189 1
0.78 190 1
0.66 191 1
0.72 192 1
0.95 193 1
0.71 194 1
0.49 195 1
0.54 196 1
0.18 197 1
0.76 198 1
0.74 199 1
0.33 200 1
0.73 201 1
0.56 202 1
0.64 203 1
0.71 204 1
0.53 205 1
0.56 206 1
1.03 207 1
0.72 208 1
0.60 209 1
0.49 210 1
0.76 211 1
0.63 212 1
1.07 213 1
0.69 214 1
0.24 215 1
0.72 216 1
0.68 217 1
0.55 218 1
0.45 219 1
0.51 220 1
0.93 221 1
0.92 222 1
0.70 223 1
0.51 224 1
0.87 225 1
0.81 226 1
0.24 227 1
0.59 228 1
0.46 229 1
0.59 230 1
0.64 231 1
0.61 232 1
0.78 233 1
0.86 234 1
0.48 235 1
0.82 236 1
1.01 237 1
0.54 238 1
0.25 239 1
0.81 240 1
0.56 241 1
0.78 242 1
0.39 243 1
0.71 244 1
0.54 245 1
0.86 246 1
0.28 247 1
0.59 248 1
0.58 249 1
0.80 250 1
0.86 251 1
0.71 252 1
0.74 253 1
0.75 254 1
0.63 255 1
0.50 256 1
0.48 257 1
0.68 258 1
0.48 259 1
0.24 260 1
1.02 261 1
0.58 262 1
0.66 263 1
0.75 264 1
0.81 265 1
0.53 266 1
0.56 267 1
0.65 268 1
0.33 269 1
0.41 270 1
0.49 271 1
0.57 272 1
0.68 273 1
0.62 274 1
0.97 275 1
0.77 276 1
0.96 277 1
0.63 278 1
0.89 279 1
0.63 280 1
0.65 281 1
0.75 282 1
0.76 283 1
0.28 284 1
0.45 285 1
0.43 286 1
0.21 287 1
0.30 288 1
0.70 289 1
0.64 290 1
0.51 291 1
1.14 292 1
0.54 293 1
1.06 294 1
0.73 295 1
0.71 296 1
0.48 297 1
0.77 298 1
0.40 299 1
0.04 300 1
0.45 301 1
0.61 302 1
0.88 303 1
1.06 304 1
0.38 305 1
0.64 306 1
0.46 307 1
0.88 308 1
0.53 309 1
0.55 310 1
0.63 311 1
0.78 312 1
0.52 313 1
0.45 314 1
0.63 315 1
0.49 316 1
0.39 317 1
