DemDexc	AemDexc	E	T
987.55	585.375	0.4509	0.05
598.4	577.5875	0.5905	0.1
114.0	419.1375	0.8563	0.15000000000000002
99.15	553.3312	0.9013	0.2
-11.8	446.5813	1.0161	0.25
131.55	358.6938	0.814	0.3
-122.65	357.3375	1.2486	0.35000000000000003
-61.3	369.9062	1.1084	0.4
199.1	457.8	0.7857	0.45
198.15	345.9125	0.7328	0.5
81.4	392.3687	0.8872	0.55
80.15	375.1438	0.8842	0.6000000000000001
-79.15	357.6625	1.1493	0.6500000000000001
-21.1	187.8125	1.0714	0.7000000000000001
68.2	390.45	0.9036	0.7500000000000001
-102.25	343.6062	1.2098	0.8
317.15	298.9438	0.5841	0.8500000000000001
3.2	234.55	0.9919	0.9000000000000001
-136.35	323.9375	1.3199	0.9500000000000001
-105.2	363.45	1.2031	1.0
-43.35	501.925	1.0542	1.05
-179.55	322.0125	1.4639	1.1
-156.75	320.1125	1.3891	1.1500000000000001
-14.8	368.6125	1.0246	1.2000000000000002
-160.9	325.9	1.3933	1.2500000000000002
-31.4	447.1313	1.0437	1.3
-325.75	428.4563	1.7359	1.35
-89.5	271.075	1.2373	1.4000000000000001
-33.25	315.0437	1.0669	1.4500000000000002
246.2	259.525	0.6139	1.5000000000000002
302.15	458.5063	0.7026	1.55
62.7	302.175	0.8872	1.6
444.25	425.8062	0.5886	1.6500000000000001
239.55	528.2188	0.7782	1.7000000000000002
-44.25	262.925	1.1103	1.7500000000000002
207.45	317.4438	0.7045	1.8
-128.7	371.0688	1.2518	1.85
-243.95	80.425	-2.5227	1.9000000000000001
839.85	-17.5125	-0.2522	1.9500000000000002
630.9	12.1875	-0.1554	2.0
750.55	96.3125	0.0451	2.05
727.1	75.9625	0.0074	2.1
728.3	147.1375	0.1453	2.15
815.65	-3.3687	-0.21	2.1999999999999997
814.45	100.15	0.0369	2.25
692.55	160.7875	0.1805	2.3
670.65	111.0188	0.0985	2.35
818.25	189.3125	0.1796	2.4
947.0	225.8875	0.1876	2.45
746.9	55.2188	-0.0454	2.5
880.05	191.7875	0.1643	2.55
835.4	156.2875	0.1267	2.6
798.45	76.225	-0.0076	2.65
736.7	85.1938	0.0254	2.7
514.35	157.9688	0.2566	2.75
419.9	94.175	0.1716	2.8
480.45	67.8313	0.0642	2.85
656.0	41.2875	-0.0658	2.9
961.4	114.8938	0.0315	2.95
785.5	139.6625	0.1148	3.0
701.25	136.9625	0.1371	3.05
646.8	50.6313	-0.0376	3.1
642.3	74.5875	0.0262	3.15
548.55	95.8188	0.1107	3.2
652.15	54.65	-0.0277	3.25
921.15	34.0875	-0.1173	3.3
747.5	39.7375	-0.0847	3.35
928.45	91.2937	-0.0028	3.4
834.1	94.5063	0.0217	3.45
758.1	126.7563	0.1007	3.5
737.75	65.7375	-0.0185	3.55
720.4	39.0375	-0.0827	3.6
507.45	205.375	0.3368	3.65
1169.5	143.7375	0.0368	3.7
115.85	137.2125	0.6438	3.75
-171.95	-12.5	-0.0477	3.8
-82.05	-26.1562	0.2672	3.85
-18.6	72.0562	1.1778	3.9
156.5	30.7875	0.1388	3.95
112.1	23.9812	0.1596	4.0
34.4	70.275	0.764	4.05
402.65	-11.9438	-0.2757	4.1
225.5	67.5562	0.2496	4.15
395.9	18.0938	-0.0995	4.2
150.9	96.5688	0.4737	4.25
20.4	39.125	0.7518	4.3
192.3	72.2188	0.3147	4.35
190.6	95.95	0.402	4.4
105.7	62.8625	0.4519	4.45
70.85	87.75	0.6549	4.5
92.7	29.9187	0.2707	4.55
430.5	15.4688	-0.1195	4.6
763.35	45.2188	-0.0729	4.65
360.25	15.2875	-0.1061	4.7
42.25	12.8	0.2528	4.75
-16.4	-70.0312	0.8742	4.8
162.8	29.3	0.1176	4.8500000000000005
174.95	9.1313	-0.0866	4.9
9.95	-32.3375	1.2182	4.95
237.65	24.8438	0.0075	5.0
104.75	-98.5063	2.3624	5.05
12.05	9.525	0.535	5.1000000000000005
-163.5	14.675	-0.4625	5.15
91.2	-123.1812	1.7053	5.2
185.5	4.5125	-0.1443	5.25
70.3	49.1375	0.4996	5.3
-176.55	-1.3562	-0.1818	5.3500000000000005
-22.75	3.5437	-0.743	5.4
67.3	25.225	0.3141	5.45
-59.05	-46.15	0.5318	5.5
-131.05	29.15	-1.1616	5.55
332.45	-26.1062	-0.4236	5.6000000000000005
51.05	90.8438	0.7368	5.65
149.35	-81.8625	13.4675	5.7
-187.4	-1.6	-0.1799	5.75
-30.25	-7.625	0.2022	5.8
189.05	99.5938	0.4157	5.8500000000000005
79.65	64.3813	0.5414	5.9
-67.35	-103.2375	0.7048	5.95
549.05	123.9375	0.1732	6.0
-162.25	-60.4688	0.3125	6.05
-196.55	-28.0	0.0661	6.1000000000000005
33.0	46.0375	0.6834	6.15
146.05	-92.7437	5.444	6.2
211.85	7.5188	-0.1205	6.25
-96.95	61.8125	5.3614	6.3
160.65	-10.8375	-0.3872	6.3500000000000005
26.7	-40.5813	1.5883	6.4
-17.35	11.825	4.3048	6.45
-96.25	54.4812	10.0855	6.5
2.2	22.2875	0.9436	6.55
136.7	61.6375	0.369	6.6000000000000005
-118.95	24.1125	-1.0182	6.65
-109.55	50.8813	-15.8809	6.7
240.15	60.075	0.2002	6.75
-9.15	96.3	1.0599	6.8
182.0	74.8562	0.3416	6.8500000000000005
342.7	141.6562	0.3431	6.9
-22.8	69.7875	1.2343	6.95
51.5	-75.0063	1.6273	7.0
36.75	13.4937	0.3081	7.05
49.9	87.275	0.7332	7.1000000000000005
69.85	62.8562	0.5714	7.15
-108.65	-65.8687	0.4576	7.2
120.3	-86.9625	3.692	7.25
-24.3	133.45	1.1202	7.3
-37.45	-44.625	0.6453	7.3500000000000005
-12.3	-7.5125	0.4598	7.4
110.35	-13.2688	-0.58	7.45
-5.3	58.1938	1.0573	7.5
158.4	34.8687	0.1668	7.55
-25.8	54.125	1.3755	7.6000000000000005
121.85	-6.85	-0.352	7.65
-157.45	-43.0625	0.2243	7.7
-185.35	-22.8188	0.0371	7.75
-100.4	21.6187	-1.1077	7.8
-212.0	-9.3125	-0.1031	7.8500000000000005
-373.25	45.5	-0.5869	7.9
-211.25	-9.9625	-0.0966	7.95
155.65	36.2312	0.1812	8.0
51.3	40.4688	0.5345	8.05
65.45	23.7937	0.3052	8.100000000000001
146.4	-2.5312	-0.243	8.15
14.5	5.6438	0.3253	8.200000000000001
43.5	-58.3	1.7141	8.250000000000002
-177.9	-10.9	-0.069	8.3
640.65	52.9875	-0.0297	8.350000000000001
75.85	21.525	0.2345	8.4
-92.5	-34.3813	0.3117	8.450000000000001
-183.7	16.1125	-0.4553	8.500000000000002
47.35	-30.0875	5.4304	8.55
-9.2	75.425	1.0779	8.600000000000001
379.65	20.9062	-0.081	8.65
-169.4	14.6875	-0.4517	8.700000000000001
9.9	14.7688	0.6988	8.750000000000002
18.3	95.2937	0.8949	8.8
191.45	54.4438	0.2351	8.850000000000001
-74.3	16.3375	-1.142	8.9
-13.3	-9.05	0.4917	8.950000000000001
-5.05	-41.8438	0.9317	9.000000000000002
-209.9	34.4062	-0.7853	9.05
-48.95	47.9375	2.2518	9.100000000000001
20.15	-10.8625	16.3524	9.15
23.1	62.5375	0.8129	9.200000000000001
-182.25	-67.8313	0.3121	9.250000000000002
-147.2	82.9	10.4968	9.3
61.05	-62.4688	2.1467	9.350000000000001
218.95	-53.1313	-1.3316	9.4
-107.35	67.425	5.6844	9.450000000000001
-331.1	76.1	-1.2209	9.500000000000002
-122.05	32.8875	-1.6026	9.55
29.0	-22.0188	3.3142	9.600000000000001
-227.65	-25.2375	0.0178	9.650000000000002
12.7	33.6938	0.8097	9.700000000000001
-128.7	19.9563	-0.7394	9.750000000000002
304.1	-9.2812	-0.278	9.8
296.1	112.1875	0.3173	9.850000000000001
204.8	-99.0125	-35.2745	9.900000000000002
56.3	22.825	0.3373	9.950000000000001
199.25	67.775	0.2858	10.000000000000002
-94.05	92.9375	2.2291	10.05
104.6	134.7688	0.6645	10.100000000000001
115.8	59.6562	0.409	10.150000000000002
-275.2	38.6062	-0.668	10.200000000000001
-61.15	-72.3938	0.6437	10.250000000000002
80.45	-13.7625	-0.8241	10.3
140.1	6.0063	-0.1052	10.350000000000001
-228.55	141.1187	6.1085	10.400000000000002
115.1	12.0938	0.0084	10.450000000000001
-209.45	24.575	-0.5679	10.500000000000002
-164.05	99.5125	6.6286	10.55
147.6	-16.6625	-0.5499	10.600000000000001
-125.15	39.9875	-2.3244	10.650000000000002
-97.1	-3.9688	-0.1093	10.700000000000001
190.45	57.2312	0.2505	10.750000000000002
-146.9	53.7812	-3.4812	10.8
113.25	-44.925	-4.8077	10.850000000000001
-28.85	-9.2188	0.2679	10.900000000000002
49.75	-19.95	-5.0609	10.950000000000001
91.65	95.6	0.6112	11.000000000000002
-14.5	69.5625	1.1396	11.05
-10.55	-52.6062	0.8906	11.100000000000001
-156.2	117.4187	3.3836	11.150000000000002
40.2	13.1062	0.2736	11.200000000000001
146.35	152.5	0.6109	11.250000000000002
284.45	37.4375	0.0501	11.3
53.85	101.3938	0.7482	11.350000000000001
